7;7;7;2
9;9;9;2
5;5;5;2
7;9;7;1
4;3;3;1
9;9;1;1
5;1;1;3
9;1;3;3
1;1;9;3
3;9;3;3
1;5;7;3
3;4;7;3
7;7;3;1
5;4;3;0
4;1;7;3
1;5;3;3
9;7;4;0
3;3;5;1
7;4;1;3
1;7;1;3
5;9;9;1
3;5;4;0
7;5;9;0
5;7;5;1
9;5;5;1
4;4;5;1
7;1;5;3
1;3;4;3
5;5;4;1
4;7;9;0
4;5;1;3
3;7;7;1
3;1;4;3
1;9;5;3
9;3;9;1
3;3;1;1
3;4;9;3
5;3;7;0
4;9;4;3
1;4;4;1
7;3;4;3
9;4;7;0
5;0;7;3
5;5;-5;3
4;9;-5;3
1;-5;1;3
-1;9;9;3
-1;5;4;3
-5;3;4;3
5;3;0;3
5;-1;4;3
0;3;3;3
-5;4;1;3
9;-1;1;3
9;1;0;3
9;-5;9;3
4;5;-1;3
-1;4;5;3
7;-5;5;3
-1;7;7;3
0;1;9;3
4;-5;4;3
3;9;0;3
1;9;-1;3
-1;3;1;3
7;5;0;3
0;9;4;3
0;5;7;3
4;1;0;3
9;4;0;3
4;0;1;3
1;7;0;3
3;3;-1;3
3;0;3;3
5;4;-1;3
1;-1;7;3
1;3;-5;3
0;7;5;3
7;1;-1;3
-5;7;3;3
9;7;-1;3
0;9;1;3
1;0;9;3
3;7;-5;3
3;-1;9;3
0;4;4;3
7;4;-5;3
5;-5;3;3
9;0;5;3
7;0;4;3
9;1;-5;3
-5;9;5;3
7;-1;3;3
-5;5;9;3
3;-5;4;3
-5;1;7;3
4;-1;3;3
7;-5;7;3
-1;1;3;3
5;-1;5;3
